sNoPlace,nLongitude,nLatitude,nPositionCentreLongitude,nPositionCentreLatitude,sStatut,sGenre,sType,sAutreTete,sNomRue,nSupVelo,sTypeExploitation,nTarifHoraire,sLocalisation,nTarifMax
A007,-73.5818565,45.48959313,-73.58186971,45.48962312,1,NORMAL,Double,A008,Sussex,0,Régulier Payez-Partez,300,S,
A008,-73.5818565,45.48959313,-73.58180564,45.48959177,1,NORMAL,Double,A007,Sussex,0,Régulier Payez-Partez,300,S,
A009,-73.58172693,45.48953179,-73.58174017,45.48956188,1,NORMAL,Double,A010,Sussex,0,Régulier Payez-Partez,300,S,
A010,-73.58172693,45.48953179,-73.5816761,45.48953053,1,NORMAL,Double,A009,Sussex,0,Régulier Payez-Partez,300,S,
A011,-73.5815974,45.48947054,-73.58161063,45.48950064,1,NORMAL,Double,A012,Sussex,0,Régulier Payez-Partez,300,S,
A012,-73.5815974,45.48947054,-73.58154656,45.48946929,1,NORMAL,Double,A011,Sussex,0,Régulier Payez-Partez,300,S,
A013,-73.58146786,45.4894093,-73.58148109,45.4894394,1,NORMAL,Double,A014,Sussex,0,Régulier Payez-Partez,300,S,
A014,-73.58146786,45.4894093,-73.58142185,45.48940786,1,NORMAL,Double,A013,Sussex,0,Régulier Payez-Partez,300,S,
A015,-73.58134353,45.48934294,-73.58135968,45.48937468,1,NORMAL,Double,A016,Sussex,0,Régulier Payez-Partez,300,S,
A016,-73.58134353,45.48934294,-73.58129751,45.4893415,1,NORMAL,Double,A015,Sussex,0,Régulier Payez-Partez,300,S,
A017,-73.5812192,45.48927658,-73.58123293,45.48930702,1,NORMAL,Double,A018,Sussex,0,Régulier Payez-Partez,300,S,
A018,-73.5812192,45.48927658,-73.58117318,45.48927514,1,NORMAL,Double,A017,Sussex,0,Régulier Payez-Partez,300,S,
A019,-73.58109486,45.48921022,-73.58110963,45.48924122,1,NORMAL,Double,A020,Sussex,0,Régulier Payez-Partez,300,S,
A020,-73.58109486,45.48921022,-73.58104884,45.48920877,1,NORMAL,Double,A019,Sussex,0,Régulier Payez-Partez,300,S,
A133,-73.58865604,45.49046556,-73.58872315,45.49046548,1,NORMAL,Double,A134,Sherbrooke,1,Régulier Payez-Partez,300,S,
A134,-73.58865604,45.49046556,-73.5886716,45.49051213,1,NORMAL,Double,A133,Sherbrooke,1,Régulier Payez-Partez,300,S,
A135,-73.58855491,45.49055819,-73.58862005,45.49055877,1,NORMAL,Double,A136,Sherbrooke,1,Régulier Payez-Partez,300,S,
A136,-73.58855491,45.49055819,-73.58856936,45.49060464,1,NORMAL,Double,A135,Sherbrooke,1,Régulier Payez-Partez,300,S,
A137,-73.5884525,45.49065083,-73.58851828,45.49065085,1,NORMAL,Double,A138,Sherbrooke,1,Régulier Payez-Partez,300,S,
A138,-73.5884525,45.49065083,-73.58846721,45.49069707,1,NORMAL,Double,A137,Sherbrooke,1,Régulier Payez-Partez,300,S,
A158,-73.58732486,45.49193729,-73.58730984,45.49189162,1,NORMAL,Double,A159,Sherbrooke,1,Régulier Payez-Partez,300,S,
A159,-73.58732486,45.49193729,-73.58725408,45.49192853,1,NORMAL,Double,A158,Sherbrooke,1,Régulier Payez-Partez,300,S,
A160,-73.58721629,45.49201272,-73.58719832,45.49196543,1,NORMAL,Double,A161,Sherbrooke,1,Régulier Payez-Partez,300,S,
A161,-73.58721629,45.49201272,-73.58714709,45.49199934,1,NORMAL,Double,A160,Sherbrooke,1,Régulier Payez-Partez,300,S,
A167,-73.58682221,45.49225675,-73.58681189,45.49220982,1,NORMAL,Double,A168,Sherbrooke,0,Régulier Payez-Partez,300,S,
A168,-73.58682221,45.49225675,-73.58675319,45.49224483,1,NORMAL,Double,A167,Sherbrooke,0,Régulier Payez-Partez,300,S,
A169,-73.58669894,45.49232883,-73.58669216,45.49228123,1,NORMAL,Double,A170,Sherbrooke,0,Régulier Payez-Partez,300,S,
A170,-73.58669894,45.49232883,-73.58663069,45.4923179,1,NORMAL,Double,A169,Sherbrooke,0,Régulier Payez-Partez,300,S,
A171,-73.5865773,45.49240312,-73.58656922,45.49235456,1,NORMAL,Double,A172,Sherbrooke,0,Régulier Payez-Partez,300,S,
A172,-73.5865773,45.49240312,-73.58650775,45.49239123,1,NORMAL,Double,A171,Sherbrooke,0,Régulier Payez-Partez,300,S,
A173,-73.58645473,45.49247677,-73.58644628,45.4924279,1,NORMAL,Double,A174,Sherbrooke,0,Régulier Payez-Partez,300,S,
A174,-73.58645473,45.49247677,-73.58638481,45.49246456,1,NORMAL,Double,A173,Sherbrooke,0,Régulier Payez-Partez,300,S,
A175,-73.5863309,45.49254938,-73.58632334,45.49250123,1,NORMAL,Double,A176,Sherbrooke,0,Régulier Payez-Partez,300,S,
A176,-73.5863309,45.49254938,-73.58626187,45.49253789,1,NORMAL,Double,A175,Sherbrooke,0,Régulier Payez-Partez,300,S,
A190,-73.58544636,45.4930793,-73.58538667,45.49305992,1,NORMAL,Simple,,Sherbrooke,1,Régulier Payez-Partez,300,S,
A194,-73.58515097,45.49325597,-73.58514425,45.49320349,1,NORMAL,Double,A195,Sherbrooke,0,Régulier Payez-Partez,300,S,
A195,-73.58515097,45.49325597,-73.58507908,45.49324272,1,NORMAL,Double,A194,Sherbrooke,0,Régulier Payez-Partez,300,S,
A196,-73.58505008,45.49331669,-73.58501931,45.49327871,1,NORMAL,Simple,,Sherbrooke,0,Régulier Payez-Partez,300,S,
A204,-73.5845462,45.49364167,-73.58451923,45.49359746,1,NORMAL,Double,A205,Sherbrooke,1,Régulier Payez-Partez,300,S,
A205,-73.5845462,45.49364167,-73.58447838,45.49362912,1,NORMAL,Double,A204,Sherbrooke,1,Régulier Payez-Partez,300,S,
A207,-73.58444918,45.49372637,-73.58438405,45.49371059,1,NORMAL,Simple,,Sherbrooke,0,Régulier Payez-Partez,300,S,
A208,-73.58437316,45.49379794,-73.58434177,45.49374964,1,NORMAL,Double,A209,Sherbrooke,1,Régulier Payez-Partez,300,S,
A209,-73.58437316,45.49379794,-73.5843,45.49379133,1,NORMAL,Double,A208,Sherbrooke,1,Régulier Payez-Partez,300,S,
A214,-73.58413429,45.49407481,-73.58407478,45.49404755,1,NORMAL,Simple,,Sherbrooke,1,Régulier Payez-Partez,300,S,
A217,-73.5840089,45.49422029,-73.58393556,45.49420468,1,NORMAL,Simple,,Sherbrooke,1,Régulier Payez-Partez,300,S,
A218,-73.58394022,45.4942976,-73.58389733,45.49424782,1,NORMAL,Double,A219,Sherbrooke,1,Régulier Payez-Partez,300,S,
A219,-73.58394022,45.4942976,-73.58385701,45.49429333,1,NORMAL,Double,A218,Sherbrooke,1,Régulier Payez-Partez,300,S,
A220,-73.58387738,45.49436952,-73.5838164,45.49433917,1,NORMAL,Simple,,Sherbrooke,1,Régulier Payez-Partez,300,S,
A221,-73.58383303,45.49441963,-73.58377787,45.49438265,1,NORMAL,Simple,,Sherbrooke,1,Régulier Payez-Partez,300,S,
A237,-73.58317472,45.49516657,-73.58313034,45.49512157,1,NORMAL,Double,A238,Sherbrooke,0,Régulier Payez-Partez,300,S,
A238,-73.58317472,45.49516657,-73.58309232,45.49516447,1,NORMAL,Double,A237,Sherbrooke,0,Régulier Payez-Partez,300,S,
A239,-73.58312018,45.49523137,-73.58305154,45.4952105,1,NORMAL,Simple,,Sherbrooke,0,Régulier Payez-Partez,300,S,
A240,-73.58305342,45.49530446,-73.58301075,45.49525653,1,NORMAL,Double,A241,Sherbrooke,0,Régulier Payez-Partez,300,S,
A241,-73.58305342,45.49530446,-73.58296996,45.49530257,1,NORMAL,Double,A240,Sherbrooke,0,Régulier Payez-Partez,300,S,
A242,-73.58299392,45.49537213,-73.58293079,45.49534677,1,NORMAL,Simple,,Sherbrooke,0,Régulier Payez-Partez,300,S,
A258,-73.5872077,45.49171904,-73.58726397,45.49171873,1,NORMAL,Double,A259,Sherbrooke,1,Régulier Payez-Partez,300,S,
A259,-73.5872077,45.49171904,-73.58720715,45.49176153,1,NORMAL,Double,A258,Sherbrooke,1,Régulier Payez-Partez,300,S,
A260,-73.58709057,45.49180217,-73.58715034,45.49180432,1,NORMAL,Double,A261,Sherbrooke,1,Régulier Payez-Partez,300,S,
A261,-73.58709057,45.49180217,-73.58709562,45.49184554,1,NORMAL,Double,A260,Sherbrooke,1,Régulier Payez-Partez,300,S,
A264,-73.58664605,45.49210289,-73.58669064,45.49209903,1,NORMAL,Double,A265,Sherbrooke,1,Régulier Payez-Partez,300,S,
